"Time","638de53168f31919048f189d, 63932c6e68f319085df375b5; B2_solar_x2_03, Soil_tension","638de53168f31919048f189d, 63932c6e68f319085df375b7; B2_solar_x2_03, Resistance","638de53168f31919048f189d, 63932c6e68f319085df375b9; B2_solar_x2_03, Soil_temperature","638de56a68f31919048f189e, 63932ce468f319085df375cb; B3_solar_x1_02, Resistance","638de57568f31919048f189f, 63932c3668f319085df375ab; B4_solar_x1_03, Soil_tension","638de57568f31919048f189f, 63932c3668f319085df375ad; B4_solar_x1_03, Resistance","638de57568f31919048f189f, 63932c3668f319085df375af; B4_solar_x1_03, Soil_temperature"
"2023-02-10 03:00:00 +0000 UTC",0,53.05,11.45,85.8,8.7,101.9,12.2
"2023-02-10 03:10:00 +0000 UTC",0,52.8,11.4,85.8,8.7,101.5,12.2
"2023-02-10 03:20:00 +0000 UTC",,,,85.8,8.7,102,12.2
"2023-02-10 03:30:00 +0000 UTC",0,52.8,11.3,85.8,8.7,101.9,12.1
"2023-02-10 03:40:00 +0000 UTC",0,52.8,11.3,85.8,8.7,102.5,12.1
"2023-02-10 03:50:00 +0000 UTC",0,53.3,11.3,85.8,8.7,102,12.1
"2023-02-10 04:00:00 +0000 UTC",0,53.3,11.2,85.8,8.7,101.9,12.1
"2023-02-10 04:10:00 +0000 UTC",0,53.3,11.2,85.8,8.7,101.9,12.1
"2023-02-10 04:20:00 +0000 UTC",0,53.3,11.2,85.8,8.7,102,12.1
"2023-02-10 04:30:00 +0000 UTC",0,53.3,11.1,85.8,8.7,101.9,12
"2023-02-10 04:40:00 +0000 UTC",0,53.3,11.1,85.8,8.7,101.9,12
"2023-02-10 04:50:00 +0000 UTC",0,53.3,11.1,85.8,8.7,101.9,12
"2023-02-10 05:00:00 +0000 UTC",0,53.3,11,85.8,8.7,102,12
"2023-02-10 05:10:00 +0000 UTC",0,53.3,11,85.8,8.7,102,12
"2023-02-10 05:20:00 +0000 UTC",0,53.3,11,85.8,8.7,102,12
"2023-02-10 05:30:00 +0000 UTC",0,53.3,11,85.8,8.7,102,11.9
"2023-02-10 05:40:00 +0000 UTC",0,53.3,11,85.8,8.7,102,11.9
"2023-02-10 05:50:00 +0000 UTC",0,53.3,10.9,85.8,8.7,102,11.9
"2023-02-10 06:00:00 +0000 UTC",0,53.3,10.9,85.8,8.6,101.5,11.8
"2023-02-10 06:10:00 +0000 UTC",0,53.3,10.9,85.8,8.7,102,11.8
"2023-02-10 06:20:00 +0000 UTC",0,53.3,10.9,85.8,8.7,103.1,11.8
"2023-02-10 06:30:00 +0000 UTC",0,53.3,10.8,85.8,8.7,103.1,11.8
"2023-02-10 06:40:00 +0000 UTC",0,54.15,10.8,85.8,8.7,103.1,11.8
"2023-02-10 06:50:00 +0000 UTC",0,54.4,10.8,85.8,8.7,102.6,11.8
"2023-02-10 07:00:00 +0000 UTC",0,54.4,10.7,86.3,8.7,103.1,11.7
"2023-02-10 07:10:00 +0000 UTC",0,54.4,10.7,86.65,8.7,103.1,11.7
"2023-02-10 07:20:00 +0000 UTC",0,54.4,10.7,86.4,8.7,103.1,11.6
"2023-02-10 07:30:00 +0000 UTC",0,53.9,10.7,86.4,8.7,102.6,11.6
"2023-02-10 07:40:00 +0000 UTC",0,54.4,10.6,86.4,8.7,103.1,11.6
"2023-02-10 07:50:00 +0000 UTC",0,54.4,10.6,86.4,8.7,103.1,11.6
"2023-02-10 08:00:00 +0000 UTC",0,54.4,10.6,86.9,8.7,103.1,11.6
"2023-02-10 08:10:00 +0000 UTC",0,54.4,10.6,85.8,8.7,103.2,11.6
"2023-02-10 08:20:00 +0000 UTC",0,54.4,10.6,86.9,8.7,103.1,11.6
"2023-02-10 08:30:00 +0000 UTC",0,54.4,10.5,86.9,8.7,103.1,11.5
"2023-02-10 08:40:00 +0000 UTC",0,54.65,10.5,87,8.7,103.2,11.5
"2023-02-10 08:50:00 +0000 UTC",0,54.4,10.5,86.9,8.7,103.7,11.5
"2023-02-10 09:00:00 +0000 UTC",0,54.4,10.5,87,8.7,104.3,11.5
"2023-02-10 09:10:00 +0000 UTC",0,54.4,10.5,87,8.7,103.2,11.5
